src,dest,hourlyPassengers
SCZ,MOF,"[1,1,1,0,2,3,6,7,8,5,5,3,4,6,5,7,7,8,6,7,4,3,2,2]"
SCZ,BER,"[0,1,2,1,0,3,5,9,8,8,7,5,6,5,4,6,9,7,5,4,5,4,1,1]"
SCZ,MER,"[1,0,1,1,3,5,6,9,7,6,7,6,3,3,4,5,9,7,8,4,5,2,0,1]"
SCZ,DAV,"[0,0,0,2,1,3,5,7,9,5,6,4,6,4,7,8,8,9,5,6,5,3,1,0]"
MOF,SCZ,"[1,0,2,1,3,5,6,7,9,5,4,3,3,5,4,8,8,7,7,4,5,3,2,0]"
MOF,BER,"[0,0,1,2,1,3,5,8,8,8,7,3,3,3,4,7,8,9,6,5,3,1,0,0]"
MOF,MER,"[1,0,2,1,0,3,7,9,9,6,5,4,6,3,5,5,7,9,8,5,3,1,1,0]"
MOF,DAV,"[0,1,0,0,2,4,6,8,8,5,4,6,3,5,6,5,9,8,7,6,4,2,0,1]"
BER,SCZ,"[1,1,2,0,1,3,6,7,7,6,4,3,5,4,6,5,8,9,7,6,4,1,2,1]"
BER,MOF,"[0,1,2,2,3,3,5,9,7,6,5,6,3,3,7,5,7,9,8,7,3,4,2,1]"
BER,MER,"[0,0,2,0,1,3,6,9,7,6,7,6,4,3,4,8,8,7,7,5,4,2,2,0]"
BER,DAV,"[1,1,1,2,2,3,7,8,8,5,7,4,4,6,4,6,7,8,6,7,5,4,2,1]"
MER,SCZ,"[0,1,2,1,3,4,7,9,8,7,5,3,3,4,6,8,7,8,5,4,5,4,1,0]"
MER,MOF,"[1,1,2,2,1,5,6,8,9,7,6,4,5,5,4,7,9,9,5,6,4,1,0,2]"
MER,BER,"[1,0,2,0,1,3,7,8,9,6,5,3,4,5,5,5,7,8,6,7,3,1,2,2]"
MER,DAV,"[0,1,2,1,0,4,5,9,9,8,6,6,5,3,4,5,8,7,5,4,3,2,1,1]"
DAV,SCZ,"[0,0,2,1,3,5,7,8,9,6,7,6,3,5,4,5,9,8,6,7,3,1,0,0]"
DAV,MOF,"[1,1,2,1,2,5,7,8,9,5,6,4,3,6,5,8,8,7,5,5,3,1,2,1]"
DAV,BER,"[1,0,2,1,0,3,5,7,9,8,7,3,4,5,6,8,9,7,5,6,4,3,2,1]"
DAV,MER,"[0,1,1,1,2,3,6,9,8,7,5,4,5,6,6,7,9,8,5,6,4,2,1,0]"

